rideid,pickuplocation,dropofflocation,distance,ridetype,fare,driverid,customerid,perkmrate,pickupdatetime
ride1,Colaba,Borivali,7.29,UberPool,1209.19,driver69,cust1436,35.45,2024-07-08 01:03:17
ride2,Colaba,Sion,7.55,UberX,585.43,driver437,cust1253,24.69,2022-04-11 12:30:40
ride3,Thane,Thane,18.75,OlaMicro,1335.77,driver80,cust625,14.12,2022-11-22 05:02:07
ride4,Andheri,Borivali,6.32,UberX,297.07,driver393,cust1353,33.03,2024-05-13 15:08:31
ride5,Versova,Kandivali,19.37,OlaMicro,1353.57,driver485,cust858,16.72,2020-06-09 19:06:02
ride6,South Mumbai,Sion,19.79,OlaMicro,335.66,driver169,cust1948,44.98,2020-06-28 11:13:56
ride7,Colaba,Dadar,2.48,OlaMicro,1624.11,driver436,cust1933,23.08,2021-10-05 09:38:51
ride8,Ghatkopar,Ghatkopar,5.57,UberPool,1427.18,driver364,cust1277,43.55,2022-05-05 13:43:59
ride9,Sion,Borivali,11.08,UberX,1912.95,driver285,cust586,43.6,2024-09-12 01:53:50
ride10,Vashi,Andheri,10.31,OlaMicro,284.47,driver446,cust1427,17.12,2022-07-09 04:39:46
ride11,Vashi,Malad,17.25,UberPool,1470.56,driver219,cust783,25.3,2024-05-02 17:29:25
ride12,Colaba,Bandra,18.73,UberPool,753.93,driver200,cust23,33.45,2023-08-13 01:28:19
ride13,Juhu,Sion,2.79,UberPool,1030.45,driver14,cust1119,11.34,2021-02-12 18:20:44
ride14,Ghatkopar,Colaba,13.19,OlaMicro,1423.32,driver281,cust235,48.85,2020-10-26 20:28:12
ride15,Sion,Kurla,17.4,OlaMicro,1282.87,driver503,cust712,28.94,2024-05-14 20:23:11
ride16,Colaba,Borivali,1.73,OlaMicro,348.72,driver182,cust540,13.31,2021-04-01 05:41:37
ride17,Malad,Versova,2.06,UberX,662.76,driver285,cust796,36.2,2023-07-24 03:58:26
ride18,Malad,Kandivali,7.32,UberPool,1800.59,driver174,cust1501,30.65,2023-03-02 07:23:37
ride19,Malad,Malad,8.91,UberX,176.66,driver514,cust605,39.16,2022-05-11 18:35:55
ride20,Colaba,Andheri,4.28,OlaMicro,437.43,driver518,cust1677,16.92,2023-06-12 11:19:51
ride21,Thane,Juhu,6.91,UberX,715.83,driver89,cust1897,13.53,2024-01-12 05:57:20
ride22,South Mumbai,Dadar,4.47,UberPool,1202.74,driver21,cust694,41.55,2023-03-07 13:19:47
ride23,Kurla,South Mumbai,13.12,OlaMicro,1889.31,driver316,cust783,39.9,2021-01-26 18:43:51
ride24,Ghatkopar,Versova,6.9,UberPool,397.11,driver144,cust1293,26.56,2021-11-24 02:29:30
ride25,Bandra,Dadar,6.18,UberPool,555.74,driver451,cust1084,13.7,2023-01-21 13:08:00
ride26,Juhu,Vashi,12.0,OlaMicro,1069.93,driver175,cust151,47.99,2022-07-17 07:08:14
ride27,Borivali,Bandra,3.96,OlaMicro,896.01,driver296,cust850,23.69,2021-12-30 21:36:52
ride28,Vashi,Bandra,2.72,UberPool,475.6,driver268,cust129,46.88,2021-07-11 01:03:39
ride29,Kurla,Borivali,10.03,UberPool,775.95,driver387,cust139,22.89,2021-11-07 12:54:52
ride30,Kandivali,Sion,12.96,UberX,359.56,driver487,cust1371,23.47,2023-11-11 20:55:18
ride31,Juhu,Andheri,4.56,UberX,960.34,driver191,cust90,27.56,2024-01-18 05:48:10
ride32,Versova,Ghatkopar,12.28,OlaMicro,828.7,driver250,cust1035,38.93,2020-06-30 12:15:56
ride33,Ghatkopar,Andheri,10.17,UberX,1942.99,driver240,cust2077,14.31,2020-03-16 16:29:38
ride34,Borivali,Ghatkopar,15.71,OlaMicro,105.68,driver171,cust1232,45.46,2021-07-22 12:53:41
ride35,Borivali,Vashi,19.08,UberX,303.29,driver342,cust221,48.81,2020-09-09 05:09:15
ride36,Dadar,Vashi,16.06,UberPool,944.49,driver170,cust1887,10.03,2021-01-03 07:53:00
ride37,Dadar,Andheri,4.81,UberPool,206.73,driver242,cust833,27.46,2022-08-02 05:02:47
ride38,Thane,Kandivali,3.93,UberPool,59.64,driver164,cust1412,14.0,2021-09-16 07:08:16
ride39,Sion,Kurla,14.28,OlaMicro,783.77,driver475,cust995,40.52,2021-03-03 17:12:24
ride40,Juhu,Vashi,8.36,UberX,829.77,driver335,cust1160,42.79,2020-09-08 06:43:12
ride41,Thane,South Mumbai,12.34,UberPool,1002.2,driver28,cust909,45.42,2020-01-20 18:58:46
